date,symbol,open,high,low,close,volume
2022-08-12,DIA,314.94,317.69,314.33,317.6,16211
2022-08-15,DIA,316.26,319.45,316.15,319.04,23889
2022-08-16,DIA,319.04,322.55,319.04,321.41,22744
2022-08-17,DIA,319.24,321.43,318.7,319.85,24044
2022-08-18,DIA,320.02,320.46,319.02,320.13,15210
2022-08-19,DIA,318.71,319.0,316.84,317.65,25493
2022-08-22,DIA,313.87,314.06,311.05,311.4,37006
2022-08-23,DIA,311.23,312.03,309.85,310.05,42691
2022-08-24,DIA,309.62,311.78,309.31,310.58,19093
2022-08-25,DIA,310.41,313.63,309.97,313.62,25741
2022-08-26,DIA,314.05,314.13,304.13,304.25,71307
2022-08-29,DIA,301.48,304.25,301.3,302.4,42304
2022-08-30,DIA,303.4,303.4,298.29,299.6,54082
2022-08-31,DIA,300.08,301.57,297.36,297.42,31123
2022-09-01,DIA,296.04,298.73,294.87,298.73,51085
2022-09-02,DIA,301.29,302.15,294.32,295.19,55018
2022-09-06,DIA,296.41,296.8,293.02,294.14,26043
2022-09-07,DIA,293.62,298.45,293.62,298.0,60581
2022-09-08,DIA,296.27,299.89,295.55,299.77,39084
2022-09-09,DIA,301.59,304.21,301.05,303.45,48922
2022-09-12,DIA,304.64,306.68,304.6,305.65,37245
2022-09-13,DIA,300.58,300.75,292.89,293.48,70984
2022-09-14,DIA,294.24,295.25,291.74,294.03,39380
2022-09-15,DIA,293.33,295.03,291.7,292.47,33824
2022-09-16,DIA,289.0,291.33,288.42,291.08,46004
2022-09-19,DIA,288.88,292.95,288.87,292.84,28801
2022-09-20,DIA,290.6,290.77,287.79,289.89,33380
2022-09-21,DIA,291.56,292.9,285.04,285.04,64658
2022-09-22,DIA,284.83,286.07,283.3,284.04,59447
2022-09-23,DIA,281.47,281.47,276.29,279.55,58970
2022-09-26,DIA,278.14,279.78,275.51,276.32,69752
2022-09-27,DIA,278.49,280.02,273.6,275.07,100446
2022-09-28,DIA,276.13,281.48,275.07,280.24,62834
2022-09-29,DIA,278.33,278.46,273.77,276.01,61935
2022-09-30,DIA,275.14,276.98,271.14,271.46,53037
2022-10-03,DIA,274.44,279.78,273.42,278.47,80351
2022-10-04,DIA,282.02,286.31,282.02,286.3,112192
2022-10-05,DIA,283.12,287.46,282.48,285.66,64236
2022-10-06,DIA,284.74,286.38,282.09,282.71,84226
2022-10-07,DIA,280.2,280.2,275.28,276.92,131187
2022-10-10,DIA,278.24,278.35,274.12,275.96,46134
2022-10-11,DIA,275.03,279.61,274.74,276.16,55626
2022-10-12,DIA,275.9,278.13,275.26,275.98,21430
2022-10-13,DIA,271.14,285.0,270.93,283.8,107622
2022-10-14,DIA,285.77,287.42,279.79,280.24,64213
2022-10-17,DIA,284.3,286.22,283.47,285.23,56945
2022-10-18,DIA,291.02,291.14,286.55,288.55,58371
2022-10-19,DIA,287.36,289.56,285.62,287.49,36437
2022-10-20,DIA,287.81,291.12,286.05,286.45,42180
2022-10-21,DIA,286.44,294.08,285.69,293.69,73483
2022-10-24,DIA,295.39,298.53,294.63,297.85,63889
2022-10-25,DIA,297.32,301.25,297.17,301.01,42006
